Sommets:
24325,24394,40517,58507,3737,3905,7237,12715,13648,13659,13664,14304,14823,17370,18956,19615,19660,21669,23106,24832,26021,26363,28240,35376,35424,36383,36860,37616,37932,39984,41687,44934,48192,51464,55079,59077,59471,59870,61742,61796,62227,65346,66689,67851,24897,30545,42653,1182,3175,5379,
33426,34071,36192,39688,63113,65086,66829,68041,554,3088,4503,4521,6142,9117,11180,12981,13769,20394,21477,22916,24295,28268,33726,40894,44594,45385,46139,49541,50970,53159,55835,56948,57628,60251,60797,67012,1441,3306,15089,22990,25318,25406,25750,25902,28406,28440,29941,33454,39659,40187,
42018,59205,1444,4189,5338,12698,14425,15946,19172,22014,29017,30982,34121,35725,35863,40691,41588,45556,52121,52622,56995,57145,3029,39076,57738,2394,2470,6975,17554,17702,18533,20532,22552,27926,29761,33137,34596,35059,35280,47226,54118,60926,61918,65338,66820,66821,67820,4070,17141,25442,
30291,37380,46598,51911,53676,54556,57682,57739,58198,6466,9207,9211,12067,16164,17755,27312,28209,32800,36011,36019,38656,39723,54519,55319,57174,58769,64720,10849,14456,15993,21895,28970,47703,54274,66739,67464,11090,1227,3826,1693,2317,2658,5187,6647,7522,10597,11443,12818,13093,16521,
20994,21044,24959,26042,26654,27246,28320,28534,33200,33847,34305,34364,34891,35247,42581,48773,49929,51277,54369,54424,54785,58449,68711,2416,7859,10425,10740,16455,17329,19740,21130,22838,23448,32368,35236,37482,38256,39608,42595,46876,48022,48024,49794,50192,51707,53316,55735,56559,60516,62245,
63938,63966,66135,66505,12081,6326,14035,15238,21834,42856,65697,4305,19921,20449,23939,24872,29334,29950,40924,42260,50213,55575,64612,11580,2009,7346,26913,30160,40852,52827,65137,2834,5029,9390,9605,10631,14245,15197,19734,26554,27652,29181,35372,45521,46695,47357,55570,58188,65619,67802,
2424,12015,18866,19102,22790,31944,33090,61192,62514,20338,1268,5201,11203,23485,23499,26530,35178,37066,45079,50437,51791,56424,56504,2619,13939,15106,15460,26757,37799,43482,43551,51109,53441,65621,35835,1481,2934,3624,6495,10170,26220,30361,31240,38074,40907,43740,43776,48411,48823,51246,
57295,58006,58748,61364,67569,36679,290,5800,5997,8188,8660,11040,11442,18109,24259,31271,31612,31990,32803,33029,34926,44572,50972,51763,64787,457,1025,4087,6671,7127,7272,16522,17667,18678,20519,22107,27587,27910,36907,39402,39803,44820,46237,47869,48851,58240,58702,61129,61942,64507,
66882,67790,5263,302,9494,14347,17378,21858,23013,23054,24697,33866,38964,44515,56382,63219,65486,68302,159,23018,27723,52364,53268,54815,61338,66513,5830,9356,18844,21380,30478,33384,42341,51028,51204,6700,2198,8495,9935,38161,38767,41534,43226,50685,54076,58712,12639,16411,25404,53029,
64908,65797,5544,10553,8391,31328,6541,249,643,8012,8484,12357,16535,17543,21342,24144,37967,40906,46850,49118,50842,56608,56623,63216,97,116,442,1301,3682,6902,7491,10852,11185,11599,12697,16026,16427,16933,22605,28998,34633,37152,39174,40272,40317,51548,52695,56800,58019,58376,
59111,59834,67415,68280,18130,20749,63272,215,702,818,7743,11660,14103,24558,56475,63850,7901,23236,44598,58689,59197,60184,66518,52419,12799,23659,25948,29715,30808,33755,38011,38374,39648,41823,42378,43393,43541,44029,52429,52463,56014,56097,59220,59861,60216,61425,62668,67052,2127,12267,
25931,28489,43430,55387,55961,59343,62313,66585,66624,7660,12949,13052,15587,21394,25569,36104,37332,42234,46791,58887,62597,10225,16663,23700,26981,27434,56150,56237,58792,64619,65099,55811,5138,65013,16612,29214,31319,34463,35606,41378,48570,49096,50110,51406,54094,55574,58588,60956,66466,66652,
68111,68128,6672,6738,18910,20176,26028,31760,38203,55126,68400,68537,6381,14546,19974,24721,31296,46740,49418,52259,53058,62083,12242,56343,62044,8851,487,5702,8123,8527,9169,11490,16570,20030,22862,36472,36481,36494,45766,46786,47775,48438,49069,50109,60403,64063,64208,67757,486,1747,
9105,10621,10923,15389,18248,38092,39021,49220,58718,8411,33979,13527,36456,39773,2869,3465,9513,12377,24856,41896,44574,60043,62646,66778,67080,9757,12458,15510,16320,18548,24603,34402,49642,55867,65017,67282,68207,68267,7912,12272,21428,24059,39835,39837,12121,13496,15005,15168,16044,17217,
18264,21411,21790,29106,30461,32081,33786,38465,38504,42198,46186,46443,56083,61475,61826,63303,1197,8923,16266,31156,36340,38730,666,896,8206,11610,17030,24765,25281,35103,35336,40221,40316,40400,43864,50892,51962,136,2270,3470,3542,6580,16921,23935,26234,26969,40948,45632,53942,56585,
4354,2410,10953,22152,51824,57302,61176,3904,5342,22386,1539,2765,5510,5581,6638,7806,8502,9638,10574,10863,11925,14068,15604,18120,19342,19665,21073,22264,22559,22743,23119,23962,24571,25149,26446,26645,27024,27218,28042,28439,31398,31525,35096,36767,38025,39920,43080,43425,44721,47293,
49092,51240,53387,53406,54691,54696,54915,57820,59789,61147,63979,65114,65325,65568,67173,7703,9010,9443,11088,17596,17601,18601,21049,30643,34735,46419,61275,61392,63380,64011,65661,8558,19005,19028,35204,36039,52516,7183,32254,61323,61762,2038,24314,40698,58035,59276,59911,60720,61433,8329,
9454,14017,14975,18151,27775,31729,38253,38480,46973,47483,47861,50052,52030,56440,56970,65292,28966,28001,32054,36578,48076,53132,55140,59986,1048,5497,5823,6041,12718,16853,31376,36010,36540,39957,41270,41317,42487,45715,50130,14726,388,1829,8248,10375,10532,12841,18675,19123,19365,27849,
28128,32635,34001,35067,38614,40014,42162,44753,45863,48120,48122,49181,50913,52753,61069,64452,65880,955,20935,30205,30744,34989,36626,40345,42535,45869,45904,51825,53045,60123,65586,303,15175,19512,27436,34397,38507,63721,64829,67273,68323,3342,5649,8465,12530,16728,28633,29859,55442,56008,
1563,1931,10430,15343,21089,35750,43948,47364,47374,57323,60481,60861,61381,63322,4944,5477,11720,12418,16610,17634,22895,23560,31529,38492,41302,45230,48327,49356,49600,49939,51090,53844,57125,65506,66939,11683,52009,18865,13274,51362,53681,54948,24894,31702,50151,50792,53540,58040,58365,63969,
22961,28779,42207,64697,5491,10081,18201,19436,26596,36722,40147,41308,53065,55259,41007,58546,1785,14355,20810,20943,36228,43361,49908,55479,29068,34174,45319,51679,61659,62541,10242,11749,19142,21747,24870,39184,48900,56629,62074,63240,63909,64107,67905,3511,9210,10568,16982,23526,26919,37268,
40625,45121,46364,60325,60332,41432,4550,6648,11224,11759,12497,12644,20748,26326,29808,32928,50029,64859,65168,66476,51233,13333,38850,67171,1292,34869,56677,65857,2872,4387,27822,2285,10978,13577,14888,22735,24626,37417,47566,924,2508,4223,7648,9815,11403,30359,32408,39299,45844,47390,
58348,61169,64477,273,2698,8035,17100,25669,26847,32544,34151,42538,45749,52184,56769,18581,34740,49332,49369,59407,64891,67617,4825,12359,15032,19183,41458,48405,49295,68727,9208,13133,25982,35480,37008,46572,63572,68657,39791,46909,49509,505,805,2705,12872,13314,16581,17499,22462,25137,
27676,32546,33315,35110,36278,36687,36783,37420,37893,43700,45523,49658,50118,56985,67824,67826,175,880,1118,3094,7201,11047,17164,30217,37334,50713,51438,53649,62871,64212,11264,15729,18165,40262,66017,19324,41092,45878,50786,52919,6366,888,6284,6368,10509,10653,31807,34948,36926,37780,
42782,46551,50330,50747,52662,53925,55787,57920,60776,61391,64195,66440,67619,233,4674,4707,6227,8521,10969,17575,17793,18348,27698,28850,30896,37716,40803,49480,49978,51477,52237,57878,58247,60268,61844,64100,67149,67925,19107,19111,19237,25481,26784,27090,57605,59730,62708,64971,66288,10180,
22003,44316,57132,42999,48724,50400,63697,10882,179,6463,6717,9771,12400,50699,55819,60282,14029,38470,47712,51890,61102,6481,15219,19926,46001,54330,64950,5421,22664,65505,1127,18498,25676,26454,31921,68251,39069,7780,7918,18778,19782,26574,31462,43318,44697,62803,63786,6796,7566,13937,
14083,15312,16816,36290,36438,39085,41221,44647,47410,47546,48262,52470,60839,63970,64152,42610,60569,62660,4965,5482,7439,9037,10683,13243,14176,14525,16278,17384,18699,20599,31204,31452,33715,34236,35154,41115,42940,47725,48343,48744,50363,54321,55924,57584,60188,60604,62418,62650,63171,68204,
39498,25919,25264,28278,32178,32288,53408,57281,62743,1337,8109,17817,18031,22441,23633,25410,29976,30801,32939,33617,35630,40077,41759,44467,47283,51659,55970,59600,61421,66349,4462,9920,12457,14324,21482,27827,29772,33231,44870,48993,50084,51336,66995,1613,3982,7135,11008,11059,24702,27122,
29205,33158,34627,37939,43345,46077,47116,51268,51720,52191,53196,54656,61777,63584,11850,12268,13179,16753,43481,46894,48973,49460,51783,56663,57433,18297,35794,9451,10229,22176,29291,46513,46662,62453,23970,53351,68656,363,4712,16575,21286,35941,54987,11913,2600,4104,5471,12749,19073,19368,
25019,26702,28348,30559,32205,36718,36998,40010,46297,49726,49743,50568,53054,59399,63156,66524,67887,12096,30012,32609,67031,7108,20692,1,5426,7367,12591,15439,30068,35698,47485,49984,58592,64167,383,3249,6831,19169,28900,33273,39916,40153,44842,49031,54843,56035,64183,67362,45524,55610,
58633,19224,12334,38419,44977,50182,51574,52747,53349,8982,15265,17806,17940,25773,27352,41477,44100,44674,55872,56059,59190,59238,60010,62769,66612,279,2168,7714,20253,33857,38956,44736,50673,52766,68367,4312,8016,9281,15957,21723,32017,33104,43517,45446,56520,19159,23420,37295,63173,4127,
15678,24304,25929,26122,26771,29373,29437,31059,42067,42687,44370,44392,45486,46660,50736,55934,60368,66186,66664,67174,777,1779,7255,19747,20484,21549,22189,26127,31998,34787,62824,65788,67701,14511,50586,4632,6156,6379,17031,19721,26381,30610,35135,38096,45692,46718,48002,49466,50288,51327,
62015,16958,30500,62691,11281,20618,52861,67406,5511,15912,21762,28090,59078,59882,65786,9395,11531,12378,24201,49303,65379,30037,11977,14402,23297,28594,34002,38818,39162,13388,8301,16733,20901,28847,40663,45181,39366,2472,13292,39348,19519,1691,63462,26997,19045,28671,54128,60177,66561,66593,
2022,25844,62302,62682,8803,8570,20340,35023,42446,9186,10064,18125,28857,33650,61612,46759,17481,15851,47646,443,1937,5443,6773,22846,34813,39731,65687,25799,1283,46981,25820,35001,35439,49764,47200,9081,17235,17289,19808,34101,37647,51984,54615,61357,61879,63613,42995,3423,976,3127,
5745,9483,12961,14958,20732,21952,25451,26860,32749,37538,37887,38831,40528,44022,52690,53192,55119,55555,56485,56628,57942,58133,58301,58685,60665,61830,66898,8366,25239,25502,35455,37108,41595,60295,62762,64352,4241,5799,23324,42399,47884,51411,58189,62508,63423,515,22691,35836,47832,66534,
13750,15826,20064,22692,31145,46703,53498,61247,64813,23752,23345,28697,37876,50814,53695,823,13761,19669,47217,54262,3769,12498,47509,52373,2172,4436,11530,16619,19893,29959,30077,31839,36148,40987,46634,49964,54576,56274,57673,63511,68324,5566,49517,48571,33209,50149,52964,53722,55158,42481,
60519,67605,7335,10024,16925,30073,32067,1121,1695,6302,23480,26467,1590,4999,14381,19491,19818,20427,21800,25027,26808,39728,42068,44831,53601,53707,54652,56482,61950,68737,40100,50709,53974,41792,11069,14903,41238,43822,44804,50616,66399,4842,11458,13239,51266,6608,16339,37486,49223,59908,
2784,5665,17198,51245,51482,60084,10787,28549,30579,39534,61453,4700,6435,6622,10840,13717,20152,20921,23037,24986,32773,34855,43686,44262,48212,50231,51876,53746,58622,60885,63252,63504,21568,21978,23901,10991,22280,23666,28138,38204,50302,55180,64658,54919,68147,45015,51761,67299,7668,11286,
